Date,Name,Year,Letterboxd URI
2019-09-25,In the Cut,2003,https://letterboxd.com/film/in-the-cut/
2019-09-25,25th Hour,2002,https://letterboxd.com/film/25th-hour/
2019-09-26,Sudden Death,1995,https://letterboxd.com/film/sudden-death/
2019-09-27,Andhadhun,2018,https://letterboxd.com/film/andhadhun/
2019-09-29,Point Break,1991,https://letterboxd.com/film/point-break/
2019-09-29,Blood Quantum,2019,https://letterboxd.com/film/blood-quantum/
2019-10-01,Dog Eat Dog,2008,https://letterboxd.com/film/dog-eat-dog-2008/
2019-10-01,Mishima: A Life in Four Chapters,1985,https://letterboxd.com/film/mishima-a-life-in-four-chapters/
2019-10-05,Ani*Kuri15,2007,https://letterboxd.com/film/anikuri15/
2019-10-05,Paprika,2006,https://letterboxd.com/film/paprika-2006/
2019-10-05,Perfect Blue,1997,https://letterboxd.com/film/perfect-blue/
2019-10-07,Sturgill Simpson Presents Sound & Fury,2019,https://letterboxd.com/film/sturgill-simpson-presents-sound-fury/
2019-10-08,Victoria,2015,https://letterboxd.com/film/victoria-2015/
2019-10-08,964 Pinocchio,1991,https://letterboxd.com/film/964-pinocchio/
2019-10-08,Tetsuo: The Iron Man,1989,https://letterboxd.com/film/tetsuo-the-iron-man/
2019-10-09,Nimic,2019,https://letterboxd.com/film/nimic/
2019-10-09,In the Realm of the Senses,1976,https://letterboxd.com/film/in-the-realm-of-the-senses/
2019-10-09,Merantau,2009,https://letterboxd.com/film/merantau/
2019-10-09,The Deathmaker,1995,https://letterboxd.com/film/the-deathmaker/
2019-10-09,Night Time,1998,https://letterboxd.com/film/night-time/
2019-10-09,Das Boot,1981,https://letterboxd.com/film/das-boot/
2019-10-10,Midnight Special,2016,https://letterboxd.com/film/midnight-special/
2019-10-10,Spring Breakers,2012,https://letterboxd.com/film/spring-breakers/
2019-10-10,Grave of the Fireflies,1988,https://letterboxd.com/film/grave-of-the-fireflies/
2019-10-10,The 400 Blows,1959,https://letterboxd.com/film/the-400-blows/
2019-10-10,8½,1963,https://letterboxd.com/film/8-half/
2019-10-10,Little Monsters,2019,https://letterboxd.com/film/little-monsters-2019/
2019-10-12,I Want to Eat Your Pancreas,2018,https://letterboxd.com/film/i-want-to-eat-your-pancreas/
2019-10-12,The Plague Dogs,1982,https://letterboxd.com/film/the-plague-dogs/
2019-10-12,Birdboy: The Forgotten Children,2015,https://letterboxd.com/film/birdboy-the-forgotten-children/
2019-10-12,Loving Vincent,2017,https://letterboxd.com/film/loving-vincent/
2019-10-12,O.G.,2018,https://letterboxd.com/film/og/
2019-10-12,Thunder Road,2018,https://letterboxd.com/film/thunder-road-2018/
2019-10-12,Rosie,2018,https://letterboxd.com/film/rosie-2018/
2019-10-12,Birds of Prey (And the Fantabulous Emancipation of One Harley Quinn),2020,https://letterboxd.com/film/birds-of-prey-and-the-fantabulous-emancipation-of-one-harley-quinn/
2019-10-12,Barry Lyndon,1975,https://letterboxd.com/film/barry-lyndon/
2019-10-12,Do the Right Thing,1989,https://letterboxd.com/film/do-the-right-thing/
2019-10-12,Ordet,1955,https://letterboxd.com/film/ordet/
2019-10-12,Chungking Express,1994,https://letterboxd.com/film/chungking-express/
2019-10-12,The Third Man,1949,https://letterboxd.com/film/the-third-man/
2019-10-12,Ugetsu,1953,https://letterboxd.com/film/ugetsu/
2019-10-12,Metropolis,1927,https://letterboxd.com/film/metropolis/
2019-10-12,Daniel Isn't Real,2019,https://letterboxd.com/film/daniel-isnt-real/
2019-10-12,The Mortuary Collection,2019,https://letterboxd.com/film/the-mortuary-collection/
2019-10-14,The Eternal Jew,1940,https://letterboxd.com/film/the-eternal-jew/
2019-10-14,The Day the Clown Cried,1973,https://letterboxd.com/film/the-day-the-clown-cried-1973/
2019-10-14,Dune,2020,https://letterboxd.com/film/dune-2020/
2019-10-14,Mulan,2020,https://letterboxd.com/film/mulan-2020/
2019-10-14,The Batman,2021,https://letterboxd.com/film/the-batman/
2019-10-14,Tenet,2020,https://letterboxd.com/film/tenet/
2019-10-14,I'm Thinking of Ending Things,2020,https://letterboxd.com/film/im-thinking-of-ending-things/
2019-10-14,Chaos Walking,2020,https://letterboxd.com/film/chaos-walking/
2019-10-14,Indiana Jones 5,2021,https://letterboxd.com/film/indiana-jones-5/
2019-10-14,Wicked,2021,https://letterboxd.com/film/wicked-2021/
2019-10-14,John Wick: Chapter 4,2021,https://letterboxd.com/film/john-wick-chapter-4/
2019-10-14,The Modern Ocean,2019,https://letterboxd.com/film/the-modern-ocean/
2019-10-14,Godzilla vs. Kong,2020,https://letterboxd.com/film/godzilla-vs-kong/
2019-10-14,Queen & Slim,2019,https://letterboxd.com/film/queen-slim/
2019-10-14,Bill & Ted Face the Music,2020,https://letterboxd.com/film/bill-ted-face-the-music/
2019-10-14,Ghostbusters: Afterlife,2020,https://letterboxd.com/film/ghostbusters-afterlife/
2019-10-14,Kung Fury II: The Movie,2020,https://letterboxd.com/film/kung-fury-ii-the-movie/
2019-10-14,1917,2019,https://letterboxd.com/film/1917/
2019-10-14,How Do You Live?,2021,https://letterboxd.com/film/how-do-you-live/
2019-10-14,The Deer Hunter,1978,https://letterboxd.com/film/the-deer-hunter/
2019-10-14,Amadeus,1984,https://letterboxd.com/film/amadeus/
2019-10-14,The Last Emperor,1987,https://letterboxd.com/film/the-last-emperor/
2019-10-14,Dances with Wolves,1990,https://letterboxd.com/film/dances-with-wolves/
2019-10-14,The Silence of the Lambs,1991,https://letterboxd.com/film/the-silence-of-the-lambs/
2019-10-14,Unforgiven,1992,https://letterboxd.com/film/unforgiven/
2019-10-14,Shakespeare in Love,1998,https://letterboxd.com/film/shakespeare-in-love/
2019-10-14,Chicago,2002,https://letterboxd.com/film/chicago/
2019-10-14,Her,2013,https://letterboxd.com/film/her/
2019-10-14,Brazil,1985,https://letterboxd.com/film/brazil/
2019-10-14,Come Swim,2017,https://letterboxd.com/film/come-swim/
2019-10-14,The Crucible,1996,https://letterboxd.com/film/the-crucible/
2019-10-14,Ravenous,1999,https://letterboxd.com/film/ravenous/
2019-10-14,Near Dark,1987,https://letterboxd.com/film/near-dark/
2019-10-14,Anomalisa,2015,https://letterboxd.com/film/anomalisa/
2019-10-14,"Synecdoche, New York",2008,https://letterboxd.com/film/synecdoche-new-york/
2019-10-15,"Black God, White Devil",1964,https://letterboxd.com/film/black-god-white-devil/
2019-10-15,Heathers,1988,https://letterboxd.com/film/heathers/
2019-10-15,Queen's High,1991,https://letterboxd.com/film/queens-high/
2019-10-15,Hanzo the Razor: Sword of Justice,1972,https://letterboxd.com/film/hanzo-the-razor-sword-of-justice/
2019-10-15,Hanzo the Razor: The Snare,1973,https://letterboxd.com/film/hanzo-the-razor-the-snare/
2019-10-15,Hanzo the Razor: Who's Got the Gold?,1974,https://letterboxd.com/film/hanzo-the-razor-whos-got-the-gold/
2019-10-15,The Trial,1962,https://letterboxd.com/film/the-trial/
2019-10-15,The Other Side of the Wind,2018,https://letterboxd.com/film/the-other-side-of-the-wind/
2019-10-15,Othello,1951,https://letterboxd.com/film/othello-1951/
2019-10-15,The Lady from Shanghai,1947,https://letterboxd.com/film/the-lady-from-shanghai/
2019-10-15,Touch of Evil,1958,https://letterboxd.com/film/touch-of-evil/
2019-10-15,Macbeth,1948,https://letterboxd.com/film/macbeth/
2019-10-15,Kill Bill: The Whole Bloody Affair,2011,https://letterboxd.com/film/kill-bill-the-whole-bloody-affair/
2019-10-15,My Best Friend's Birthday,1987,https://letterboxd.com/film/my-best-friends-birthday/
2019-10-15,Reservoir Dogs,1991,https://letterboxd.com/film/reservoir-dogs-1991/
2019-10-15,Malcolm X,1992,https://letterboxd.com/film/malcolm-x-1992/
2019-10-15,Crimson Tide,1995,https://letterboxd.com/film/crimson-tide/
2019-10-15,Magnolia,1999,https://letterboxd.com/film/magnolia/
2019-10-15,Risky Business,1983,https://letterboxd.com/film/risky-business/
2019-10-15,Legend,1985,https://letterboxd.com/film/legend/
2019-10-15,Raw Deal,1986,https://letterboxd.com/film/raw-deal-1986/
2019-10-15,Cowboys & Aliens,2011,https://letterboxd.com/film/cowboys-aliens/
2019-10-15,The Star Wars Holiday Special,1978,https://letterboxd.com/film/the-star-wars-holiday-special/
2019-10-15,The Mosquito Coast,1986,https://letterboxd.com/film/the-mosquito-coast/
2019-10-15,The Adventures of Buckaroo Banzai Across the 8th Dimension,1984,https://letterboxd.com/film/the-adventures-of-buckaroo-banzai-across-the-8th-dimension/
2019-10-15,Paradise Alley,1978,https://letterboxd.com/film/paradise-alley/
2019-10-16,Double Indemnity,1944,https://letterboxd.com/film/double-indemnity/
2019-10-16,The Maltese Falcon,1941,https://letterboxd.com/film/the-maltese-falcon-1941/
2019-10-16,A Streetcar Named Desire,1951,https://letterboxd.com/film/a-streetcar-named-desire/
2019-10-16,Cinema Paradiso,1988,https://letterboxd.com/film/cinema-paradiso/
2019-10-16,Rear Window,1954,https://letterboxd.com/film/rear-window/
2019-10-16,Dial M for Murder,1954,https://letterboxd.com/film/dial-m-for-murder/
2019-10-16,Memory: The Origins of Alien,2019,https://letterboxd.com/film/memory-the-origins-of-alien/
2019-10-17,Suicide Club,2001,https://letterboxd.com/film/suicide-club/
2019-10-18,Fifty Shades of Grey,2015,https://letterboxd.com/film/fifty-shades-of-grey/
2019-10-18,Fifty Shades Darker,2017,https://letterboxd.com/film/fifty-shades-darker/
2019-10-18,Fifty Shades Freed,2018,https://letterboxd.com/film/fifty-shades-freed/
2019-10-19,Untouchable,2019,https://letterboxd.com/film/untouchable-2019/
2019-10-19,Death Bell,2008,https://letterboxd.com/film/death-bell/
2019-10-19,Twisted Pair,2018,https://letterboxd.com/film/twisted-pair/
2019-10-19,Before Sunset,2004,https://letterboxd.com/film/before-sunset/
2019-10-19,The King of Pigs,2011,https://letterboxd.com/film/the-king-of-pigs/
2019-10-19,Seoul Station,2016,https://letterboxd.com/film/seoul-station/
2019-10-19,Nothing but Trouble,1991,https://letterboxd.com/film/nothing-but-trouble/
2019-10-20,Swamp Thing,1982,https://letterboxd.com/film/swamp-thing/
2019-10-20,The Return of Swamp Thing,1989,https://letterboxd.com/film/the-return-of-swamp-thing/
2019-10-20,Black Christmas,1974,https://letterboxd.com/film/black-christmas/
2019-10-20,Critters: Bounty Hunter,2014,https://letterboxd.com/film/critters-bounty-hunter/
2019-10-20,Techno Western,2016,https://letterboxd.com/film/techno-western/
2019-10-21,Stray Dolls,2019,https://letterboxd.com/film/stray-dolls/
2019-10-21,The Admiral: Roaring Currents,2014,https://letterboxd.com/film/the-admiral-roaring-currents/
2019-10-21,How to Steal a Dog,2014,https://letterboxd.com/film/how-to-steal-a-dog/
2019-10-21,Geographies of Kinship,,https://letterboxd.com/film/geographies-of-kinship/
2019-10-22,It Must Be Heaven,2019,https://letterboxd.com/film/it-must-be-heaven/
2019-10-23,"Kim Ji-young, Born 1982",2019,https://letterboxd.com/film/kim-ji-young-born-1982/
2019-10-23,The Monologue,2018,https://letterboxd.com/film/the-monologue/
2019-10-24,Fireworks,1997,https://letterboxd.com/film/fireworks-1997/
2019-10-24,The Vast of Night,2019,https://letterboxd.com/film/the-vast-of-night/
2019-10-24,Something Wicked This Way Comes,1983,https://letterboxd.com/film/something-wicked-this-way-comes/
2019-10-24,The Happiness of the Katakuris,2001,https://letterboxd.com/film/the-happiness-of-the-katakuris/
2019-10-24,Paradise: Faith,2012,https://letterboxd.com/film/paradise-faith/
2019-10-24,Oasis,2002,https://letterboxd.com/film/oasis/
2019-10-24,The Tree of Life,2011,https://letterboxd.com/film/the-tree-of-life-2011/
2019-10-24,Days of Heaven,1978,https://letterboxd.com/film/days-of-heaven/
2019-10-24,Badlands,1973,https://letterboxd.com/film/badlands/
2019-10-24,The Nightmare,2015,https://letterboxd.com/film/the-nightmare-2015/
2019-10-25,Kindred Spirits,2019,https://letterboxd.com/film/kindred-spirits/
2019-10-26,"Party Hard, Die Young",2018,https://letterboxd.com/film/party-hard-die-young/
2019-10-26,On the Beach at Night Alone,2017,https://letterboxd.com/film/on-the-beach-at-night-alone/
2019-10-26,The Disappearance of Eleanor Rigby: Her,2013,https://letterboxd.com/film/the-disappearance-of-eleanor-rigby-her/
2019-10-26,The Disappearance of Eleanor Rigby: Him,2013,https://letterboxd.com/film/the-disappearance-of-eleanor-rigby-him/
2019-10-26,Young Frankenstein,1974,https://letterboxd.com/film/young-frankenstein/
2019-10-26,The Rocky Horror Picture Show: Let's Do the Time Warp Again,2016,https://letterboxd.com/film/the-rocky-horror-picture-show-lets-do-the-time-warp-again/
2019-10-27,Repo! The Genetic Opera,2008,https://letterboxd.com/film/repo-the-genetic-opera/
2019-10-27,Repo Man,1984,https://letterboxd.com/film/repo-man/
2019-10-27,The House of the Devil,2009,https://letterboxd.com/film/the-house-of-the-devil/
2019-10-27,Kicking and Screaming,1995,https://letterboxd.com/film/kicking-and-screaming/
2019-10-28,Titicut Follies,1967,https://letterboxd.com/film/titicut-follies/
2019-10-29,2 or 3 Things I Know About Her,1967,https://letterboxd.com/film/2-or-3-things-i-know-about-her/
2019-10-29,Breathless,1960,https://letterboxd.com/film/breathless/
2019-10-29,A Woman Is a Woman,1961,https://letterboxd.com/film/a-woman-is-a-woman/
2019-10-29,Pom Poko,1994,https://letterboxd.com/film/pom-poko/
2019-10-29,The Tale of the Princess Kaguya,2013,https://letterboxd.com/film/the-tale-of-the-princess-kaguya/
2019-10-29,Gauche the Cellist,1982,https://letterboxd.com/film/gauche-the-cellist/
2019-10-31,Army of Shadows,1969,https://letterboxd.com/film/army-of-shadows/
2019-11-01,Pretty Woman,1990,https://letterboxd.com/film/pretty-woman/
2019-11-06,The Eye,2002,https://letterboxd.com/film/the-eye/
2019-11-07,Synchronic,2019,https://letterboxd.com/film/synchronic/
2019-11-08,The Bridge,1959,https://letterboxd.com/film/the-bridge-1959/
2019-11-08,Hardware,1990,https://letterboxd.com/film/hardware/
2019-11-08,Color Out of Space,2019,https://letterboxd.com/film/color-out-of-space/
2019-11-08,Dust Devil,1992,https://letterboxd.com/film/dust-devil/
2019-11-12,Pain and Glory,2019,https://letterboxd.com/film/pain-and-glory/
2019-11-12,The Skin I Live In,2011,https://letterboxd.com/film/the-skin-i-live-in/
2019-11-12,All About My Mother,1999,https://letterboxd.com/film/all-about-my-mother/
2019-11-12,Volver,2006,https://letterboxd.com/film/volver/
2019-11-12,Bad Education,2004,https://letterboxd.com/film/bad-education/
2019-11-20,El Topo,1970,https://letterboxd.com/film/el-topo/
2019-11-20,The Dance of Reality,2013,https://letterboxd.com/film/the-dance-of-reality/
2019-11-20,Endless Poetry,2016,https://letterboxd.com/film/endless-poetry/
2019-11-20,An Elephant Sitting Still,2018,https://letterboxd.com/film/an-elephant-sitting-still/
2019-11-20,"The Cook, the Thief, His Wife & Her Lover",1989,https://letterboxd.com/film/the-cook-the-thief-his-wife-her-lover/
2019-11-21,To the Ends of the Earth,2019,https://letterboxd.com/film/to-the-ends-of-the-earth-2019/
2019-11-24,The Piano,1993,https://letterboxd.com/film/the-piano/
2019-11-25,The Wind That Shakes the Barley,2006,https://letterboxd.com/film/the-wind-that-shakes-the-barley/
2019-11-27,Flowers of Shanghai,1998,https://letterboxd.com/film/flowers-of-shanghai/
2019-11-27,A Brighter Summer Day,1991,https://letterboxd.com/film/a-brighter-summer-day/
2019-11-27,Carmen,1934,https://letterboxd.com/film/carmen-1934/
2019-12-01,Sleuth,1972,https://letterboxd.com/film/sleuth/
2019-12-02,7th Heaven,1927,https://letterboxd.com/film/7th-heaven/
2019-12-03,The Lord of the Rings: The Two Towers,2002,https://letterboxd.com/film/the-lord-of-the-rings-the-two-towers/
2019-12-03,The River of Love,1960,https://letterboxd.com/film/the-river-of-love-1960/
2019-12-03,Cairo Station,1958,https://letterboxd.com/film/cairo-station/
2019-12-03,Colossal,2016,https://letterboxd.com/film/colossal-2016/
2019-12-05,The Meyerowitz Stories (New and Selected),2017,https://letterboxd.com/film/the-meyerowitz-stories-new-and-selected/
2019-12-05,Skin Trade,2014,https://letterboxd.com/film/skin-trade/
2019-12-06,Birds of Passage,2018,https://letterboxd.com/film/birds-of-passage-2018/
2019-12-06,Waiting for the Barbarians,2019,https://letterboxd.com/film/waiting-for-the-barbarians/
2019-12-07,Pyewacket,2017,https://letterboxd.com/film/pyewacket/
2019-12-07,The Blair Witch Project,1999,https://letterboxd.com/film/the-blair-witch-project/
2019-12-09,Mediterranea,2015,https://letterboxd.com/film/mediterranea/
2019-12-09,Flatliners,2017,https://letterboxd.com/film/flatliners-2017/
2019-12-09,Hearts Beat Loud,2018,https://letterboxd.com/film/hearts-beat-loud/
2019-12-09,Profound Desires of the Gods,1968,https://letterboxd.com/film/profound-desires-of-the-gods/
2019-12-10,Southland Tales,2006,https://letterboxd.com/film/southland-tales/
2019-12-10,Sunshine,2007,https://letterboxd.com/film/sunshine-2007/
2019-12-12,The Chambermaid,2018,https://letterboxd.com/film/the-chambermaid/
2019-12-13,Space Truckers,1996,https://letterboxd.com/film/space-truckers/
2019-12-17,The Accidental Gangster and the Mistaken Courtesean,2008,https://letterboxd.com/film/the-accidental-gangster-and-the-mistaken-courtesean/
2019-12-17,Sorry to Bother You,2018,https://letterboxd.com/film/sorry-to-bother-you/
2019-12-17,Too Old to Die Young,2019,https://letterboxd.com/film/too-old-to-die-young/
2019-12-17,Candy,2006,https://letterboxd.com/film/candy-2006/
2019-12-17,Helter Skelter,2012,https://letterboxd.com/film/helter-skelter-2012/
2019-12-19,The Duke of Burgundy,2014,https://letterboxd.com/film/the-duke-of-burgundy/
2019-12-19,Berberian Sound Studio,2012,https://letterboxd.com/film/berberian-sound-studio/
2019-12-19,Portrait of a Lady on Fire,2019,https://letterboxd.com/film/portrait-of-a-lady-on-fire/
2019-12-21,The Lodge,2019,https://letterboxd.com/film/the-lodge-2019/
2019-12-21,Pierrot le Fou,1965,https://letterboxd.com/film/pierrot-le-fou/
2019-12-21,To All the Boys I've Loved Before,2018,https://letterboxd.com/film/to-all-the-boys-ive-loved-before/
2019-12-23,The Crown Prince of Saudi Arabia,2019,https://letterboxd.com/film/the-crown-prince-of-saudi-arabia/
2019-12-25,Charley Varrick,1973,https://letterboxd.com/film/charley-varrick/
2019-12-25,Poetry,2010,https://letterboxd.com/film/poetry/
2019-12-25,My Dear Enemy,2008,https://letterboxd.com/film/my-dear-enemy/
2019-12-25,The Decalogue,1989,https://letterboxd.com/film/the-decalogue/
2019-12-26,The Shop Around the Corner,1940,https://letterboxd.com/film/the-shop-around-the-corner/
2019-12-26,The Strange Color of Your Body's Tears,2013,https://letterboxd.com/film/the-strange-color-of-your-bodys-tears/
2019-12-26,Amer,2009,https://letterboxd.com/film/amer/
2019-12-27,Venom,1981,https://letterboxd.com/film/venom/
2019-12-27,Witchfinder General,1968,https://letterboxd.com/film/witchfinder-general/
2019-12-27,Dead Man's Letters,1986,https://letterboxd.com/film/dead-mans-letters/
2019-12-27,A Visitor to a Museum,1989,https://letterboxd.com/film/a-visitor-to-a-museum/
2019-12-29,Sailor Suit and Machine Gun,1981,https://letterboxd.com/film/sailor-suit-and-machine-gun/
2019-12-29,An Occurrence at Owl Creek Bridge,1962,https://letterboxd.com/film/an-occurrence-at-owl-creek-bridge/
2019-12-29,Stranger Than Paradise,1984,https://letterboxd.com/film/stranger-than-paradise/
2019-12-29,The Matrix 4,2021,https://letterboxd.com/film/the-matrix-4/
2019-12-31,Dragged Across Concrete,2018,https://letterboxd.com/film/dragged-across-concrete/
2020-01-01,Double Xposure,2012,https://letterboxd.com/film/double-xposure/
2020-01-01,A Matter of Life and Death,1946,https://letterboxd.com/film/a-matter-of-life-and-death/
2020-01-02,Cigarette Burns,2005,https://letterboxd.com/film/cigarette-burns/
2020-01-02,The Believers,1987,https://letterboxd.com/film/the-believers/
